Z T N2 S-CH2 T-CH2 O H2 H OH H2O O2 HO2 CH CO HCO CH2O CH3 CO2 CH4 C2H3 C2H4 C2H5 C2H HCCO C2H2 C3H3 A-C3H5 N-C3H7 C2H6 P-C3H4 A-C3H4 A1 A1- C5H5 C3H6 C4H8 C5H6 A2 C5H10 C5H11 A1C2H2 A1CH2 A1CHO A1CH3 C7H15 N-C7H16 A1C2H* A2- A1C2H
0.0 300.00000000000074 0.7670002848599157 0.0 0.0 1.1909725176958242e-41 0.0 0.0 0.0 0.0 0.2329997151400844 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
0.001 346.5331726724298 0.7662332845750807 5.101366475650807e-161 4.375233027499277e-155 7.982910208360201e-36 2.372737141273851e-38 1.0772527551812303e-50 2.292383697176686e-24 0.0012843088329665233 0.2293449573868317 1.2047397551197338e-23 5.834909285311325e-165 3.2167415216302817e-41 1.87418771487157e-84 1.0931170850171927e-83 1.0492604997914253e-139 0.0031374492051211016 2.2383646553934432e-128 3.324745999085111e-222 2.443361762502337e-207 1.7052695373504847e-237 3.632524602724412e-220 2.6099965338042543e-165 1.6689121187292754e-191 0.0 0.0 0.0 1.520425461446941e-229 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
0.002 392.7171979662987 0.7654662842902077 1.6225002203092643e-141 3.016856444270573e-136 2.109802181287341e-31 9.527907054225477e-34 1.608036629428918e-44 2.112368146894821e-21 0.0025686176659311653 0.22569019963365042 3.869900649486358e-21 8.847517037828974e-145 6.834943069238886e-36 3.936689969877192e-74 9.489669560264538e-74 6.223613897047701e-123 0.006274898410210768 3.027284348034587e-113 1.9368858927609382e-195 1.1363140512044996e-182 2.320663009591511e-209 3.0080317484636067e-193 2.694929025997085e-145 2.736395569076984e-168 6.942670656499334e-254 0.0 0.0 1.030854776302039e-202 3.640843184393097e-253 3.866252669243803e-254 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
0.003 438.5129338190577 0.764699284004964 2.3890161386861148e-126 1.3439553703674878e-121 6.204757946532845e-28 3.419604146461298e-30 1.0517692415280517e-39 4.1749852045767146e-19 0.0038529264989139176 0.22203544188078753 3.3053641220538545e-19 4.769360293446508e-129 8.962759916172799e-32 3.942348442463377e-66 4.3970740722224286e-66 6.19486704876756e-110 0.009412347615334554 1.43160510091523e-101 1.1353068058552708e-174 1.397531227746112e-163 1.384799549434538e-187 2.7136282093859417e-172 9.363026155440896e-130 2.8749060241024763e-150 6.656764977982805e-227 2.6798883923071252e-241 0.0 5.4342998702756696e-182 1.4517678004718185e-226 1.831046775326005e-227 0.0 0.0 0.0 4.91650572460052e-241 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
0.004 483.8830895718538 0.7639322837182114 3.5079378549079186e-114 7.56207237175226e-110 3.8365818601873247e-25 2.407381565617277e-27 7.792145920933979e-36 2.886231690676101e-17 0.0051372353319887746 0.21838068412922018 1.152809805934307e-17 2.0335564713430078e-116 1.7721581645049715e-28 1.0114856266776909e-59 5.91784033573403e-60 1.6033871592107356e-99 0.012549796820579906 3.103594687229718e-92 5.0053748607024806e-158 2.686260283220266e-148 3.7699115535261706e-170 1.778056265441594e-155 2.7003384709110864e-117 8.071541498947594e-136 2.8446266475384793e-205 8.573187852496246e-219 1.7870132409688117e-242 2.0529465317385281e-165 2.9780393893037007e-205 4.31216769245914e-206 0.0 0.0 0.0 9.177364433391052e-219 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
0.005 528.7937616719272 0.7631652834344184 3.346768289138286e-104 3.288425837198054e-100 7.531559597974213e-23 5.225435783749939e-25 1.175718022175751e-32 9.312357506308502e-16 0.006421544164892547 0.2147259263751492 2.106068213529986e-16 4.695150731417509e-106 8.90551502086699e-26 1.813957094949072e-54 6.182929542185032e-55 5.519762077766426e-91 0.0156872460255388 1.3758815962513986e-84 2.2213094961870949e-144 9.011872318938587e-136 7.328872256321187e-156 1.114067836737535e-141 4.469615576276485e-107 5.716505232627211e-124 1.5639359325377276e-187 2.4156047672224312e-200 2.516315944381041e-222 7.815130108876139e-152 8.848817118604716e-188 1.4352311729137235e-188 0.0 0.0 0.0 1.6416866579711782e-200 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
0.006 573.2157027709941 0.7623982831507956 7.190255687363134e-96 3.6709715929491126e-92 6.203621213895654e-21 4.6909576007971583e-23 5.340281368955758e-30 1.6940996225974254e-14 0.007705852997780298 0.21107116862077852 2.369966497682966e-15 2.1169651913965495e-97 1.5997367731329824e-23 4.400999637446253e-50 9.510697577071462e-51 7.390272019636182e-84 0.018824695230626277 3.303241280322519e-78 5.4905015903031595e-133 2.5668539234016665e-125 6.180091827062461e-144 3.70089202217404e-130 1.522385414276706e-98 4.492122321373443e-114 1.017168005551428e-172 6.109007104461344e-185 1.6553646649939247e-205 1.6828476094935526e-140 3.4211249559010684e-173 6.102064315513022e-174 0.0 0.0 0.0 2.8237143349625735e-185 8.854854745555344e-247 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
0.007 617.1252951555821 0.7616312828659303 8.246717025042627e-89 2.420837002721787e-85 2.6069645814141673e-19 2.131483179242007e-21 9.584245615724633e-28 1.9800881494243347e-13 0.008990161830645474 0.2074164108674763 1.836362711377389e-14 4.553394073170432e-90 1.2997256096531888e-21 2.281108036840578e-46 3.345614828017398e-47 8.081193561343154e-78 0.021962144435731693 8.395301394929184e-73 2.471532552802757e-123 1.8503497655183864e-116 7.856978714959493e-134 2.1440655138785626e-120 2.585411957090997e-91 1.092915749795531e-105 3.6393466070269364e-160 6.898811567430353e-172 2.9468466124093994e-191 6.726613909806046e-131 7.855474018342105e-161 1.5191593553622091e-161 0.0 0.0 4.232990317613145e-249 2.293261800006348e-172 9.711856904860326e-230 3.4039262140861153e-251 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
0.008 660.5052233588044 0.7608642825810595 9.386505824007429e-83 1.7158610836381567e-79 6.437012814250644e-18 5.663309877090964e-20 8.265174981487876e-26 1.6327831466637025e-12 0.010274470662827842 0.20376165311353522 1.0608735937804452e-13 8.882964768719192e-84 5.652056190842366e-20 3.504457478819235e-43 3.6864672530795304e-44 1.2281052095432042e-72 0.025099593640838712 3.646106284167377e-68 4.738181856297924e-115 7.377063535780395e-109 3.6738568180052547e-125 5.097842059255909e-112 4.131030784020484e-85 1.7187958880225114e-98 2.1571192169201155e-149 1.0977491709146802e-160 4.990172660016974e-179 1.1669997459210087e-122 3.179705660997693e-150 6.593388240086904e-151 0.0 0.0 7.390201312991421e-233 2.74651932532156e-161 4.080350194580954e-215 5.728679043442065e-235 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
0.009000000000000001 703.3448633579599 0.7600972822961752 1.6754178446375478e-77 2.0330239988328085e-74 1.0368532352784585e-16 9.784929283813624e-19 3.957489692790741e-24 1.0176935733623823e-11 0.011558779491166259 0.20010689535605122 4.844366314852244e-13 2.52646989954782e-78 1.489291594264926e-18 2.0313128681080787e-40 1.6034933940972777e-41 3.837442503614928e-68 0.02823704284594585 3.847916817832297e-64 7.235880917905676e-108 2.892193506442058e-102 1.218263754473993e-117 9.357754334109682e-105 9.919516814257595e-80 3.006724466275059e-92 4.774677221344626e-140 5.7378198091310484e-151 2.0280516371363158e-168 1.6412403151549683e-115 5.057577369092831e-141 1.1145091719854805e-141 6.2230382093553275e-248 5.546957990149411e-254 9.07567669542122e-219 1.1217364311668786e-151 1.985648355051834e-202 6.842573161318691e-221 0.0 3.042521888206728e-253 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
