Z T N2 S-CH2 T-CH2 O H2 H OH H2O O2 HO2 CH CO HCO CH2O CH3 CO2 CH4 C2H3 C2H4 C2H5 C2H HCCO C2H2 C3H3 A-C3H5 N-C3H7 C2H6 P-C3H4 A-C3H4 A1 A1- C5H5 C3H6 C4H8 C5H6 A2 C5H10 C5H11 A1C2H2 A1CH2 A1CHO A1CH3 C7H15 N-C7H16 A1C2H* A2- A1C2H
0.0 300.0 0.7670002848599555 2.0001898863942228e-42 -1.2782996390654322e-41 -1.4014447867133534e-33 2.8688646559616666e-58 4.135825635303345e-34 -3.93050700370089e-33 -2.8517058785673055e-33 0.23299971514004453 1.7423736512875176e-55 2.5521241450643455e-69 4.440658741956352e-32 4.351198786248256e-64 9.507059383423576e-34 1.4823882146973034e-62 9.052826108065121e-33 1.8121466465975885e-85 6.882840848562213e-113 3.0292221213647764e-85 -3.886954560729419e-97 -1.0358178747592485e-148 -5.441733508190611e-134 1.4060794250637427e-106 -4.1263553480118483e-137 -4.2200276129049166e-160 0.0 5.965383858870131e-134 1.6780686834565815e-153 1.210595114436881e-153 -4.3116494777045666e-162 -3.568424698654295e-179 -2.3230102696346005e-174 9.84090404293768e-140 0.0 8.265982879195279e-191 -1.7959911820082413e-218 0.0 0.0 -3.874755638322859e-276 -2.2495570613264337e-246 -1.2896506099381e-264 3.881638598627869e-221 0.0 0.0 2.3974975925663597e-291 3.0517972047733755e-246 -3.463086396389958e-290
0.01 300.000000434692 0.759330282011356 2.4090500341390504e-37 4.666442840135248e-30 5.8026098206896425e-27 8.678710209507649e-15 6.691633773824263e-21 1.4103686399638975e-27 1.206579137180016e-11 0.23066971795650468 7.331959718615656e-17 3.9726975170118834e-40 6.546652438090168e-13 1.0181766522575322e-28 2.2277946142494233e-13 1.1523020438905903e-18 2.8788035780823758e-11 5.559853562947094e-14 9.698351432507581e-29 0.009999999990343098 5.961354767238844e-41 2.037179729467795e-55 1.4215565715256664e-40 5.974497807370402e-16 8.407831384040495e-38 2.5754974231403696e-19 3.6397036350264567e-168 2.206703716827753e-21 7.647986227071586e-19 3.408468181972011e-19 1.0697511037034368e-27 7.246647041846888e-49 4.274232756021863e-30 1.0705076584602018e-16 1.0630801931717321e-201 4.426475342150927e-28 1.909648648766488e-36 7.987874453765528e-250 3.032151245847577e-253 5.514546990942163e-38 4.907837348760747e-38 3.63225776467649e-32 5.874790140159435e-32 0.0 0.0 1.808362390353335e-44 9.73587143685877e-47 1.128039945631012e-34
0.02 1140.9348659332334 0.7516602791626564 1.8682110328097106e-12 3.1199223932816556e-11 2.6381744002360947e-05 5.057510161832767e-07 1.0739790099560234e-07 7.273831909352682e-05 0.025641682706117254 0.1598629702064159 3.139764237398684e-08 3.0700047568506086e-15 2.261334138777748e-05 2.440613907061452e-10 5.15592060256695e-08 1.0102558795292111e-08 0.06271229094614363 1.3101499186295962e-09 8.930125550979573e-11 3.3265796551361213e-07 5.861563911943411e-15 9.940591189335876e-16 9.597408970524861e-11 2.934782328553982e-09 1.175645812826438e-14 9.616793834749019e-14 5.461579864910292e-105 1.9828622324475971e-19 2.1427614435499347e-14 3.227046107912652e-13 3.812603256279532e-24 4.444784572059679e-27 2.6006608364631193e-23 1.518239146063769e-13 -5.9141916816632916e-142 2.3336927253732834e-23 9.26929147329165e-24 -9.615692444146466e-173 -3.7569964158884163e-178 5.287902081928527e-31 2.7318549340212964e-31 4.496210701264921e-24 6.780295914817257e-30 -2.81045644766351e-300 -2.7661884688854225e-296 3.3896107973396674e-27 1.0093236464487211e-25 5.894795919685049e-26
0.03 1500.5904931802415 0.7439902763141367 4.616884069311371e-12 6.080633187639643e-11 5.156293648113173e-05 1.680626489413764e-06 2.0742089509626432e-07 0.00029551701634175924 0.03835576844468934 0.12321894307771544 5.952660451366293e-09 4.056594902530092e-14 6.525272320524587e-05 2.504559535299747e-10 1.8400101529328278e-08 7.021698358599418e-09 0.09402069263779304 1.4784765707972388e-09 6.394334077171728e-10 5.850961566738621e-08 7.358222272483581e-15 1.267367983376917e-13 4.6228374595048115e-10 6.021584685334291e-09 3.786279310630008e-14 6.925066273395566e-14 8.070741861255394e-80 2.753512027351187e-20 2.2164649284234346e-14 1.393060434253341e-13 1.6008987166074167e-24 1.3561192889361375e-26 1.3187266098402234e-22 5.1515643778692507e-14 5.9383477937618596e-226 2.2471863582725972e-23 4.310527598709966e-34 1.2250454589474769e-241 -5.834614812659616e-246 8.255738662562177e-36 -1.8243664248433134e-30 1.793751806681053e-29 2.9978923910107624e-30 -1.9161206293532702e-250 4.967828556826459e-246 1.11475201316624e-30 2.185710166597004e-35 8.839503373143388e-30
0.04 1833.4773012341545 0.7363202734652906 1.0307105254690263e-11 1.2828110247668374e-10 6.991781983375784e-05 4.0661557382628406e-06 3.4215860263010066e-07 0.000648885249835449 0.050989252090607166 0.08659875514304388 1.2108809498117647e-09 3.935132905127483e-13 0.00022656014927530915 1.9696040632835278e-10 1.0358261435037678e-08 7.2528125759485486e-09 0.12514191297530722 2.266950370915105e-09 1.7871572551416492e-09 3.273963426030401e-09 1.293552788274815e-14 2.1403612544488834e-12 8.797021452838314e-10 7.4244653645120834e-09 7.844743789227835e-14 2.386084132231702e-14 8.588710393717605e-65 1.0629046513234739e-20 2.9238619710201564e-14 3.861539136972403e-14 5.559446383160695e-25 2.1456312704191151e-26 2.0588292127513278e-23 1.7803371092489463e-14 6.599958765841865e-174 4.927985217351398e-25 1.8418254525835468e-36 5.935275902090779e-190 1.835415911867631e-193 1.4072314484311382e-36 3.585810309529496e-31 5.730488518170246e-32 5.167628755737812e-31 -2.1081121959750627e-238 5.1699543001160744e-235 1.2085562602682484e-30 2.8117496408933396e-38 6.922308752480848e-30
0.05 2144.9806161278134 0.7286502706154676 2.327642063190939e-11 2.9830019545217335e-10 7.034991718409855e-05 8.488522517699346e-06 4.987266651192031e-07 0.0009984477941839486 0.06360627471867718 0.05013845073593024 4.1960828798070483e-10 2.9195715724810435e-12 0.0006043112461054755 1.7177567491062475e-10 8.259569838664602e-09 9.240268310552596e-09 0.1559228688632492 4.344528974175394e-09 4.330315504664282e-09 5.608501149873741e-10 3.413062890266703e-14 1.9657867001618207e-11 1.4571864765522982e-09 9.731428666065148e-09 2.438772604388156e-13 1.7205645039855943e-14 1.906121219108723e-33 1.1177050941979311e-20 1.6836329662620566e-14 1.600178787734149e-14 5.187806226182215e-25 9.460894799018169e-26 4.87788998229977e-24 4.246565100250959e-15 3.121255770451573e-173 4.615060201484617e-26 3.258388160639511e-37 -1.4544497321362817e-183 -4.644702083881712e-189 1.6939410102291415e-36 9.209247080443172e-32 4.984124734265267e-34 7.841850450043637e-32 -4.681908247641207e-236 -7.686971326239979e-234 4.3277606015572e-30 3.296476383269337e-39 2.186622869390617e-29
0.06 2434.830175268678 0.7209802677683579 6.357341134966732e-11 8.213442703864482e-10 4.598844113488294e-05 2.2546036021752178e-05 8.231378674436079e-07 0.0011001067068664163 0.07626694617484903 0.014406395293539766 2.3171223307423412e-10 1.8512847371203944e-11 0.0018730502972357506 1.84886334325396e-10 9.95323315404398e-09 1.6727681657598625e-08 0.185303790510146 1.351389571605126e-08 1.721789436652058e-08 2.197112797073009e-10 2.0513271859983197e-13 2.694729031229971e-10 3.77519048121391e-09 2.2633731474082378e-08 2.8378840805245454e-12 5.3829429288891634e-14 -3.042126105357164e-31 4.9962158619814916e-20 1.9254273047272945e-14 2.1945052261605898e-14 3.476994373436265e-24 1.1581576126027721e-23 1.7750602828559365e-23 2.7349424955836476e-15 -6.298994099993964e-159 9.549195380506907e-25 4.43727100219149e-36 3.0847394108544326e-170 -5.253188869819898e-176 1.6281096202178377e-34 1.6111886667689903e-30 5.189859487742549e-34 1.0310484973210565e-30 8.826492154895749e-243 -1.5126772260117732e-239 7.957053585332011e-28 1.2025808597157741e-37 3.272943845285631e-27
0.07 2478.7942024388535 0.7133102649197586 3.064462156716884e-10 4.233383655202783e-09 1.7855870119673151e-06 0.0004887773206356083 3.2471910747783217e-06 0.00023575511597815653 0.08537542504457754 3.95802265333983e-05 3.503364325171883e-11 4.6919594193628935e-11 0.033384687284208237 6.869868113392718e-10 5.55071666738272e-08 2.593084946015312e-07 0.16715696931471125 1.1642369147966257e-06 2.736138988681853e-07 2.2783304643080297e-10 2.915907789950282e-11 2.589975450385986e-09 2.4074929425746238e-08 1.7150312264191742e-06 8.032249970768265e-09 1.1806436244009023e-11 7.395031688770009e-34 9.334167994574031e-17 1.5048136393597356e-11 7.55143596669767e-12 1.9048761862643986e-17 6.482334825089121e-16 2.898092831710836e-18 4.854245658629716e-13 7.394407832458308e-198 9.496942090554112e-18 9.377433933756521e-27 -5.125961498260521e-209 2.6957834829931677e-213 5.880294076273082e-25 9.74052065458261e-22 8.713549677761731e-27 6.049021677781872e-22 8.008380058329362e-277 4.908982349678839e-278 4.361017541723926e-19 3.550453664727292e-27 3.4581526869480382e-18
0.08 2352.9085217276406 0.7056402620711592 4.968671640058747e-10 7.435316647503479e-09 3.916616503874289e-07 0.001708379971069116 5.601835888140228e-06 0.00010238288391125124 0.08734959456397705 9.01580130250737e-06 1.469446200022839e-11 7.195407498081424e-11 0.08014774337562001 2.5461232845782603e-09 8.281086060498563e-08 9.213103644276375e-07 0.12502071603148698 8.123848168109592e-06 2.7134480112226883e-07 3.8513605360215806e-10 1.8295174159573562e-10 2.521190495713494e-09 1.2753595226071991e-08 6.4474302314048745e-06 3.820480135274827e-08 5.267254872309565e-11 -6.033543149639902e-32 3.288244789700132e-15 2.8392174714548416e-10 1.0569945806466257e-10 1.9322641777598504e-15 1.6652159915741088e-14 1.089416669662288e-16 4.563279242443964e-12 -3.601633654644788e-219 1.738832949643733e-16 6.647169341295187e-24 -3.646119833229558e-230 -2.224562227322392e-235 8.369455407217256e-23 2.3012384926976943e-19 1.1139295819497242e-24 1.599366388920377e-19 7.098400383742281e-266 -1.0499330732799197e-262 9.7116882277851e-18 7.408235659281506e-25 2.0402169818811112e-16
0.09 2232.985256687658 0.69797025922256 7.123063888178809e-10 1.1701295774623247e-08 1.502551188735935e-07 0.003472354655350207 7.672181562246935e-06 5.6744865194113284e-05 0.0843831989571343 6.284524963608028e-06 1.3172182286647191e-11 1.0502122465729104e-10 0.11935991413858286 5.8852325193808284e-09 9.5785217932252e-08 2.1670589069035074e-06 0.09469769601667763 2.759513282775099e-05 2.407443639825005e-07 6.897274946911974e-10 6.253660439291327e-10 2.728281614577603e-09 7.894003182538411e-09 1.5500987009473143e-05 9.215967223948382e-08 1.4511798533532835e-10 -7.118324846874147e-30 3.0522976017858845e-14 2.0452960182858733e-09 7.430899876548893e-10 5.369286724489617e-14 1.1169106710676648e-13 1.396793610828998e-15 2.674607016862397e-11 -1.065887896197544e-208 1.1601947332213338e-15 7.547560104368932e-22 -5.018973995120406e-218 -2.3994795268243837e-223 2.0441541373429417e-21 9.715394303000796e-18 4.685594404114988e-23 7.828036648244911e-18 -5.075492678552913e-240 5.07185348090175e-237 4.7882818347244987e-17 2.3210618389120598e-23 2.546161884866633e-15
