Time [ms];Mass flow rate [g/s]
0;0
0.0002;0.0338939949989
0.0004;0.0677859124763
0.0006;0.101675766942
0.0008;0.135563572869
0.001;0.169449344691
0.0012;0.203333096807
0.0014;0.237214843575
0.0016;0.271094599315
0.0018;0.304972378309
0.002;0.338848194798
0.0022;0.372722062985
0.0024;0.40659399703
0.0026;0.440464011054
0.0028;0.474332119138
0.003;0.508198335321
0.0032;0.542062673598
0.0034;0.575925147925
0.0036;0.609785772214
0.0038;0.643644560334
0.004;0.677501526111
0.0042;0.711356683328
0.0044;0.745210045722
0.0046;0.779061626989
0.0048;0.812911440776
0.005;0.846759500688
0.0052;0.880605820283
0.0054;0.914450413075
0.0056;0.94829329253
0.0058;0.982134472067
0.006;1.01597396506
0.0062;1.04981178483
0.0064;1.08364794467
0.0066;1.11748245779
0.0068;1.15131533738
0.007;1.18514659658
0.0072;1.21897624846
0.0074;1.25280430607
0.0076;1.28663078238
0.0078;1.32045569033
0.008;1.3542790428
0.0082;1.38810085263
0.0084;1.42192113261
0.0086;1.45573989545
0.0088;1.48955715384
0.009;1.5233729204
0.0092;1.55683017298
0.0094;1.58790658592
0.0096;1.61477247008
0.0098;1.63755751713
0.01;1.65695641216
0.0102;1.67357881522
0.0104;1.68805004343
0.0106;1.70091694752
0.0108;1.71261748109
0.011;1.72278357699
0.0112;1.73228181034
0.0114;1.74107935717
0.0116;1.74903861079
0.0118;1.75667748642
0.012;1.76359308392
0.0122;1.77025021226
0.0124;1.77648340994
0.0126;1.78230687767
0.0128;1.78811637162
0.013;1.7932297437
0.0132;1.79834310401
0.0134;1.80330411865
0.0136;1.80781046821
0.0138;1.81231683589
0.014;1.81672767968
0.0142;1.82071311788
0.0144;1.82469859919
0.0146;1.82868412427
0.0148;1.83231153357
0.015;1.83584820697
0.0152;1.83938494492
0.0154;1.84289264252
0.0156;1.84604103569
0.0158;1.84918951084
0.016;1.85233806827
0.0162;1.85548670829
0.0164;1.85829937159
0.0166;1.86111069077
0.0168;1.8639221069
0.017;1.86673362012
0.0172;1.8693859634
0.0174;1.87190331015
0.0176;1.87442076594
0.0178;1.87693833079
0.018;1.8794560047
0.0182;1.8817955153
0.0184;1.88405569064
0.0186;1.88631598485
0.0188;1.88857639782
0.019;1.89083692943
