y Tmean Tstd SMDmean SMDstd Vmean Vstd
0.03725 377.7807429 0.284781605 114.6458571 1.022276162 48.37838857 0.638806288
0.0625 377.7889286 0.292962763 114.4963714 0.978517672 48.36956571 0.638484965
0.137 388.4435429 1.85330338 87.74578143 3.508634286 46.83004143 0.582765013
0.16225 391.4616714 2.473408017 78.65309714 4.663176138 46.37991 0.490007523
0.23675 401.8592429 1.826889812 62.33460143 2.851214618 44.66665429 0.657851901
0.262 405.4678 2.051809958 58.17240714 2.152286609 44.02376143 0.694274135
0.3365 407.0519 3.271204335 56.42472857 2.837118265 43.41970571 0.874002242
0.36175 403.3751714 2.408918975 61.09381429 2.459019258 43.77447857 0.78803865
0.43625 389.0857286 1.34992623 77.57681714 3.866107792 45.34771143 0.635483098
0.4615 403.3751714 2.408918975 71.26388857 4.30016215 43.77447857 0.78803865
0.536 389.0857286 1.34992623 51.44214 6.408620824 45.34771143 0.635483098
0.56125 403.3751714 2.408918975 45.42601 7.698319675 43.77447857 0.78803865
0.63575 389.0857286 1.34992623 18.35662386 3.126554212 45.34771143 0.635483098
0.661 403.3751714 2.408918975 9.561667429 1.644544965 43.77447857 0.78803865
